world_rank,university_name,country,teaching,international,research,citations,income,total_score
351-400,Aalborg University,Denmark,23.8,65.8,28.5,39.9,43.9,-
351-400,Aberystwyth University,United Kingdom,20.7,66.5,20.6,52.2,33,-
351-400,Aston University,United Kingdom,19.4,79.7,21.6,45.1,35.7,-
351-400,Bayreuth University,Germany,21.3,53.9,12.9,61.8,34.8,-
351-400,Bielefeld University,Germany,27.5,48.6,19.1,52,37.4,-
351-400,Claude Bernard University Lyon 1,France,19.1,52.1,17.2,62.6,33.6,-
351-400,Curtin University,Australia,20.1,91.3,17.1,45.3,36.1,-
351-400,Ewha Womans University,South Korea,23.5,36,18,57.6,61.3,-
351-400,George Mason University,United States of America,26.3,35.8,20.3,53.9,28.7,-
351-400,Hanyang University,South Korea,31.5,48.4,32.3,29,88.7,-
351-400,Hokkaido University,Japan,38.4,25.2,27.5,32.2,43.4,-
351-400,Indian Institute of Technology Bombay,India,34.2,19.5,24.6,43.5,49.7,-
351-400,Indian Institute of Technology Roorkee,India,25.2,16.6,14.3,62.6,69,-
351-400,Isfahan University of Technology,Iran,20.7,20,27.3,48.9,84.1,-
351-400,King MongkutÌ¢‰âÂ‰ã¢s University of Technology Thonburi,Thailand,16.7,22.5,10,75,56.5,-
351-400,Kyushu University,Japan,36.5,26.1,28.5,33.6,68.7,-
351-400,Lehigh University,United States of America,25.4,34.5,16.6,56.3,39.2,-
351-400,LinkÌÄå_ping University,Sweden,20.2,50.9,27.6,51.5,-,-
351-400,Murdoch University,Australia,21.2,85.3,17.8,46.5,40.5,-
351-400,National Cheng Kung University,Taiwan,31.8,26.7,40.1,28.4,100,-
351-400,National Sun Yat-Sen University,Taiwan,26.4,24.2,32.9,39,47,-
351-400,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,27.7,26.7,42.6,30.9,82,-
351-400,Royal College of Surgeons in Ireland,Republic of Ireland,24.7,82.6,18.9,43.5,28.4,-
351-400,Ruhr University Bochum,Germany,31.5,53.6,22.5,42,47.4,-
351-400,Swinburne University of Technology,Australia,20.2,86.9,16.3,50.2,38.8,-
351-400,UiT The Arctic University of Norway,Norway,20.7,60,16.9,53.2,38.8,-
351-400,UmeÌÄå´ University,Sweden,21.2,50.3,25.7,52.7,31.3,-
351-400,University of Bari Aldo Moro,Italy,29.1,38.1,18.1,52,35.2,-
351-400,University of Eastern Finland,Finland,24.3,44.1,21.6,53.8,32.8,-
351-400,University of Ferrara,Italy,19.5,42.1,15.2,64.5,40.4,-
351-400,University of Florence,Italy,18.1,37.4,17.3,60.8,35.4,-
351-400,University of Graz,Austria,23.7,64.8,17.3,55.1,30.2,-
351-400,University of Hertfordshire,United Kingdom,16.2,74.9,10.9,65,29.6,-
351-400,University of Lisbon,Portugal,30.1,46.8,22.8,44.8,33.9,-
351-400,University of LiÌÄå¬ge,Belgium,25.9,69.1,18.4,44.6,70.4,-
351-400,University of Minho,Portugal,20.2,49.7,16.2,60.6,44.5,-
351-400,University of Missouri,United States of America,31.7,29.6,22,46.6,31.2,-
351-400,University of Navarra,Spain,29.5,46.2,22.3,41.7,90.2,-
351-400,University of Portsmouth,United Kingdom,16.1,73.3,10.6,61.6,29.2,-
351-400,University of Rome III,Italy,19.3,48,11.8,62.1,37.7,-
351-400,University of Seoul,South Korea,21,34.3,20.2,63.3,29.1,-
351-400,University of Turku,Finland,24.3,46.3,21.8,47.7,32.1,-
351-400,University of Vermont,United States of America,26.8,21,19.4,57.5,-,-
351-400,University of Waikato,New Zealand,18.6,80.3,17,50,50,-
351-400,Vrije Universiteit Brussel,Belgium,31.2,54.5,17.9,48.1,44.8,-
351-400,Waseda University,Japan,25.5,43.1,16.3,55.5,32.6,-
351-400,Washington State University,United States of America,28.5,36,27.5,44.2,54.5,-
351-400,Western Sydney University,Australia,17.8,50.1,22.4,58.7,30.4,-
351-400,Wuhan University,China,34.1,33.1,17.4,48.5,85.9,-
351-400,Wuhan University of Technology,China,16.2,21.4,8,75.8,57.8,-
